filename,transcript,sentiment
10.mp3,टीम के अहम सदस्य समझते हैं वे अपना सर्वश्रेष्ठ प्रदर्शन करने के लिए और,NEGATIVE (0.74)
10002.mp3,परिणाम है गति और प्रगति में,NEGATIVE (0.68)
10003.mp3,उन पुराने दिनों में जब कभी ऐसा होता कि हमें किसी बड़े,NEGATIVE (0.69)
1000.mp3,बवाा फॉरवर्ड स्लैश राजी करने का प्रतिरोध,NEGATIVE (0.66)
0.mp3,व्यवसाय प्रोडक्ट्स की तुलना के लिए प्रॉफिट मार्जिन का अक्सर इस्तेमाल करते हैं,NEGATIVE (0.74)
10004.mp3,समक्ष थ सक्षम थे वॉारन के जीवन दर्शन को उनकी इन पं,NEGATIVE (0.81)
100.mp3,से वैसा ही किया जैसे ही मुझे थोड़ा आराम मिलना शुरू हुआ मैं,NEGATIVE (0.86)
1.mp3,बहत से लड़ रहा है मुझे इस बात इस वाक,NEGATIVE (0.85)
10001.mp3,आपके पास दरअसल कितना समय है आप यह क्या,NEGATIVE (0.79)
10000.mp3,का मजेदार वक्त उसे बहुत याद आता अरे वह शानदार,NEGATIVE (0.64)
